Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
OCEAN PEARL,J S HOMES,Villas (Plots & Buildings),2019-03-11,2024-03-31,K-RERA/PRJ/TVM/111/2023,2023-06-23,18,18,Inprogress,Thiruvananthapuram,THIRUVALLAM,THIRUVANANTHAPRUAM
DREAMFLOWER VELVETUDE - 4,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2023-03-01,2026-03-31,K-RERA/PRJ/ERN/036/2023,2023-02-23,36,26,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
ASSET SAMSKRITI,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2023-03-15,2027-03-15,K-RERA/PRJ/ERN/047/2023,2023-03-13,29,22,Inprogress,Ernakulam,ERNAKULAM,Kanayannur
VARMA KOVILAKAM,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2026-04-15,2031-04-14,K-RERA/PRJ/ERN/003/2026,2026-01-12,57,17,Inprogress,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
ASSET WINCHESTER,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2024-01-15,2028-01-15,K-RERA/PRJ/KTM/235/2023,2023-12-18,16,8,Inprogress,Kottayam,PEROOR,Kottayam
SOBHA METROPOLIS - PHASE 2,M/S SOBHA HIGHRISE VENTURES PRIVATE LIMITED,Residential (Apartment),2023-06-30,2028-06-30,K-RERA/PRJ/TSR/101/2023,2023-06-13,92,90,Inprogress,Thrissur,OLLUR,Thrissur
7ELYSEE HOMES,Raasi Homes India Private Limited,Residential (Apartment),2022-08-01,2027-02-25,K-RERA/PRJ/TSR/058/2023,2023-03-29,7,0,Completed,Thrissur,VILVATTOM,Thrissur
ASSET ELAN CASA,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2023-05-03,2027-05-31,K-RERA/PRJ/KKD/053/2023,2023-03-23,36,28,Inprogress,Kozhikode,CHEVAYUR,Kozhikode
Maple Leaf,Joyce  George,Residential (Apartment),2021-11-29,2024-11-30,K-RERA/PRJ/ERN/070/2023,2023-04-24,12,0,Completed,Ernakulam,ELOOR,Paravur
V3 SPARROWS NEST,Vthree Homes And Infrastructure India Private Limited,Villas (Plots & Buildings),2023-04-01,2028-01-31,K-RERA/PRJ/PKD/214/2023,2023-11-20,0,0,Inprogress,Palakkad,OTTAPALAM I,Ottappalam
Anugraha Srishti,Ei Holdings,Villas (Plots & Buildings),2019-09-30,2028-01-14,K-RERA/PRJ/ERN/089/2023,2023-05-25,40,39,Inprogress,Ernakulam,AIKARANAD NORTH,Kunnathunad
Kalyan Paramount,Kalyan Developers,Residential (Apartment),2023-05-31,2028-03-24,K-RERA/PRJ/ERN/161/2023,2023-09-14,64,36,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
Sustainable Village,Green Collective Projects Pvt Ltd,Plots,2023-06-01,2028-05-31,K-RERA/PRJ/TVM/127/2023,2023-07-26,,0,Completed,Thiruvananthapuram,VATTAPPARA,Nedumangad
ISLAND VALLEY,SREE MOUNT BUILDERS & DEVELOPERS PVT LTD,Residential (Apartment),2023-06-01,2026-06-30,K-RERA/PRJ/ERN/119/2023,2023-07-07,12,4,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
HYBA BLOOM,Vasco Square Builders and Developers,Plots,2023-04-28,2024-04-27,K-RERA/PRJ/KKD/093/2023,2023-05-27,,9,Completed,Kozhikode,CHELAVUR,Kozhikode
CARISTO,INHOUSE PROJECTS INDIA PRIVATE LIMITED,Villas (Plots & Buildings),2023-04-01,2026-03-31,K-RERA/PRJ/ERN/139/2023,2023-08-07,73,2,Inprogress,Ernakulam,VENGOLA,Kunnathunad
SURAKSHA THE BANK RETIREES COMMUNITY LIVING,SURAKSHA THE BANK RETIREES COMMUNITY LIVING,Villas (Plots & Buildings),2023-05-18,2028-05-17,K-RERA/PRJ/TVM/144/2023,2023-08-09,26,26,Inprogress,Thiruvananthapuram,NELLANAD,Nedumangad
ARCON SERENE,ARCON HOME BUILDERS PRIVATE LIMITED,Residential (Apartment),2023-06-19,2027-06-30,K-RERA/PRJ/TVM/105/2023,2023-06-17,33,10,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
PSN Lotus,PSN Homes Pvt Ltd,Residential (Apartment),2023-04-25,2024-05-31,K-RERA/PRJ/ERN/126/2023,2023-07-26,10,0,Completed,Ernakulam,KAKKANAD,Kanayannur
RAHMA APARTMENTS,SALAMCHOLLI ABDUL SALAM,Residential (Apartment),2016-06-25,2023-06-06,K-RERA/PRJ/KNR/227/2023,2023-12-05,13,13,Completed,Kannur,ELAYAVOOR,Kannur
SUN SPRING HILL VILLA,SUN PROJECTS INDIA PRIVATE LIMITED,Villas (Plots & Buildings),2022-10-25,2028-08-01,K-RERA/PRJ/TVM/172/2023,2023-09-23,0,8,Inprogress,Thiruvananthapuram,VATTAPPARA,Nedumangad
DREAMS MALL,DESINGANADU RAPID DEVELOPMENT and ASSISTANCE CO OPERATIVE SOCIETY LTD,Residential (Apartment),2019-06-01,2024-03-31,K-RERA/PRJ/KLM/011/2024,2024-01-10,24,0,Completed,Kollam,MAYYANAD,Kollam
AMPLE,REDPORCH NEST PVT LTD,Plots,2023-09-01,2028-08-07,K-RERA/PRJ/ERN/057/2024,2024-03-12,,6,Inprogress,Ernakulam,MARADU,Kanayannur
PRIME MERIDIAN REEF,MERITRA HOMES PVT LTD,Residential (Apartment),2023-10-16,2028-08-17,K-RERA/PRJ/ERN/167/2023,2023-09-19,20,12,Inprogress,Ernakulam,EDAKOCHI,Kochi
EVER BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2023-09-11,2026-10-26,K-RERA/PRJ/TVM/164/2023,2023-09-16,38,14,Inprogress,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
SULTANS OF SWING,ICLOUD HOMES PRIVATE LIMITED,Residential (Apartment),2023-10-16,2027-10-14,K-RERA/PRJ/TVM/197/2023,2023-11-02,84,39,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
URBANSPACE,PRISUNIC BUILDERS PVT LTD,Residential (Apartment),2023-10-15,2026-12-31,K-RERA/PRJ/KKD/189/2023,2023-10-27,24,24,Inprogress,Kozhikode,NELLIKODE,Kozhikode
Indraneelam Infinia,Indraneelam Builders,Residential (Apartment),2024-04-01,2029-10-01,K-RERA/PRJ/TSR/063/2024,2024-03-20,40,19,Inprogress,Thrissur,AYYANTHOLE,Thrissur
Neamath Pearl,Neamath Realty Private Ltd,Villas (Plots & Buildings),2023-10-01,2028-11-30,K-RERA/PRJ/PKD/177/2023,2023-10-07,20,20,Inprogress,Palakkad,OTTAPALAM I,Ottappalam
VICTORIA REALTORS SAROVARAM,DHARMIC LIVING PVT LTD,Plots,2023-10-20,2028-10-31,K-RERA/PRJ/PKD/186/2023,2023-10-27,,0,Completed,Palakkad,AMBALAPPARA II,Ottappalam
WINSOME GARDENS,CASA VISTA CONSTRUCTIONS PVT LTD,Plots,2023-10-05,2024-10-05,K-RERA/PRJ/TVM/225/2023,2023-12-05,,15,Completed,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
Bhavans Laurel Greens,Bhavans Starco Builders LLP,Villas (Plots & Buildings),2023-12-01,2028-06-17,K-RERA/PRJ/TSR/205/2023,2023-11-16,12,0,Inprogress,Thrissur,PERAMANGALAM,Thrissur
WHERE DREAMS BEGIN,ICLOUD HOMES PRIVATE LIMITED,Residential (Apartment),2023-12-01,2026-11-30,K-RERA/PRJ/TVM/206/2023,2023-11-16,40,29,Inprogress,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
OMG LAVENDER,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2023-11-30,2028-11-30,K-RERA/PRJ/ERN/034/2024,2024-02-12,14,2,Inprogress,Ernakulam,ANGAMALY,Aluva
GREEN HILLS,BTF Developers,Plots,2023-06-28,2024-03-28,K-RERA/PRJ/ERN/220/2023,2023-11-27,,10,Completed,Ernakulam,KUNNATHUNAD,Kunnathunad
MYS REGENT,MYS CONSTRUCTIONS,Residential (Apartment),2024-01-01,2027-01-04,K-RERA/PRJ/TVM/264/2024,2024-12-30,16,0,Inprogress,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
PRS WINDY WOODS,PRS BUILD INDIA PRIVATE LIMITED,Residential (Apartment),2024-01-01,2028-12-31,K-RERA/PRJ/TVM/044/2024,2024-02-16,46,16,Inprogress,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
ANANTA LIVING - DHARANI,BUILTECH HOUSING LLP,Residential (Apartment),2023-12-17,2028-04-29,K-RERA/PRJ/PKD/032/2024,2024-02-12,95,6,Inprogress,Palakkad,MANKARA,Palakkad
CONFIDENT HERITAGE,Confident Projects Residential,Residential (Apartment),2023-12-15,2028-12-15,K-RERA/PRJ/ERN/222/2023,2023-12-05,68,52,Inprogress,Ernakulam,FORT KOCHI,Kochi
SANROYAL HESTIA,SANROYAL BUILDERS AND CONTRACTORS PVT LTD,Residential (Apartment),2023-08-20,2029-04-14,K-RERA/PRJ/TVM/002/2024,2024-01-01,78,27,Inprogress,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
KAIRALI ANOKHA GARDENS,Kairali Home Apartments and Villas Pvt Ltd,Villas (Plots & Buildings),2022-07-16,2026-08-30,K-RERA/PRJ/TSR/160/2022,2022-10-07,18,11,Inprogress,Thrissur,CHITTILAPPILLY,Thrissur
Urbanscape Solitaire,Urbanscape Properties LLP,Residential (Apartment),2022-11-10,2026-11-10,K-RERA/PRJ/TVM/192/2022,2022-11-26,62,45,Inprogress,Thiruvananthapuram,VATTIYOORKAVU,THIRUVANANTHAPRUAM
VICTORIA REALTORS NAADAM,DHARMIC LIVING PVT LTD,Plots,2022-10-05,2026-10-30,K-RERA/PRJ/PKD/175/2022,2022-10-27,,12,Inprogress,Palakkad,KUZHALMANDHAM II,ALATHUR
THE SPRING DALE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Mixed (Commercial & Residential),2022-10-11,2026-03-30,K-RERA/PRJ/TVM/166/2022,2022-10-17,67,51,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
OMG SOVEREIGN VILLAS,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2022-10-15,2027-10-31,K-RERA/PRJ/ERN/077/2023,2023-05-02,16,16,Inprogress,Ernakulam,KARUKUTTY,Aluva
AJL SERENE VALLEY,AJL HOMES,Villas (Plots & Buildings),2022-11-01,2027-09-30,K-RERA/PRJ/ERN/009/2023,2023-01-13,56,35,Inprogress,Ernakulam,ALUVA EAST,Aluva
VARMA GARDENIA,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2023-12-01,2028-11-30,K-RERA/PRJ/ERN/142/2023,2023-08-08,28,14,Inprogress,Ernakulam,POONITHURA,Kanayannur
ASIAN ALORA,ASIAN DEVELOPERS,Residential (Apartment),2020-12-07,2025-12-07,K-RERA/PRJ/ERN/001/2023,2023-01-05,12,8,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
Neamath Brookfield,Neamath Realty Private Ltd,Villas (Plots & Buildings),2022-12-01,2027-11-30,K-RERA/PRJ/PKD/052/2023,2023-03-22,20,20,Completed,Palakkad,PARALI II,Palakkad
VICTORIA REALTORS PRANAVAM,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2022-12-10,2025-12-31,K-RERA/PRJ/TVM/017/2023,2023-01-27,10,10,Completed,Thiruvananthapuram,AYIROOPARA,THIRUVANANTHAPRUAM
VARMA SYMPHONY,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2023-11-01,2029-10-31,K-RERA/PRJ/ERN/113/2023,2023-06-26,26,18,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur
ARCON ANANT,ARCON HOME DEVELOPERS PVT LTD,Villas (Plots & Buildings),2022-10-28,2026-12-28,K-RERA/PRJ/TVM/005/2023,2023-01-07,11,11,Completed,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
PIMENTO GARDEN,Synthite Industries Pvt Ltd,Residential (Apartment),2022-04-19,2027-04-18,K-RERA/PRJ/ERN/084/2023,2023-05-17,26,8,Inprogress,Ernakulam,POONITHURA,Kanayannur
KENT BAYWATCH SUITES,Kent Constructions Pvt Ltd,Residential (Apartment),2014-04-10,2018-09-10,K-RERA/PRJ/ERN/108/2023,2023-06-17,100,58,Completed,Ernakulam,EDAKOCHI,Kochi
ALPINE HEIGHTS,Alpine Homes,Residential (Apartment),2009-09-29,2023-12-30,K-RERA/PRJ/PTA/040/2023,2023-02-23,20,4,Completed,Pathanamthitta,KUTTAPUZHA,Thiruvalla
Royal View,Biju K Skaria,Residential (Apartment),2022-11-01,2024-10-31,K-RERA/PRJ/TVM/042/2023,2023-03-03,9,3,Completed,Thiruvananthapuram,MUTTATHARA,THIRUVANANTHAPRUAM
GREEN COUNTY,Malabar Developers Private Limited,Plots,2011-02-14,2033-12-31,K-RERA/PRJ/KKD/091/2023,2023-05-27,,42,Inprogress,Kozhikode,PERUVAYAL,Kozhikode
SHANOOR RAINBOW CITY,SHANOOR PROJECTS AND REALTORS PVT LTD,Villas (Plots & Buildings),2023-02-01,2030-12-31,K-RERA/PRJ/TVM/102/2023,2023-06-17,7,6,Inprogress,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM
Kairali Peace Manor,Kairali Constructions Pvt Ltd,Villas (Plots & Buildings),2022-11-16,2027-11-16,K-RERA/PRJ/KTM/082/2023,2023-05-17,16,0,Inprogress,Kottayam,NATTAKOM,Kottayam
VICTORIA REALTORS SOUPARNIKA,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-03-01,2026-02-28,K-RERA/PRJ/PKD/125/2023,2023-07-25,11,11,Completed,Palakkad,KANNADI I,Palakkad
VICTORIA REALTORS VANDHANAM THIRD PHASE,DHARMIC LIVING PVT LTD,Villas (Plots & Buildings),2023-06-30,2027-06-30,K-RERA/PRJ/TSR/131/2023,2023-07-27,33,33,Completed,Thrissur,VELUR,KUNNAMKULAM
THE NEXT PRODIGY,CASADEL PROPERTIES PRIVATE LIMITED,Residential (Apartment),2023-07-20,2029-10-10,K-RERA/PRJ/ERN/174/2023,2023-09-30,74,47,Inprogress,Ernakulam,PUTHENCRUZ,Kunnathunad
ARC BY SREEDHNAYA,Sree Dhanya Homes Pvt ltd,Residential (Apartment),2023-08-01,2029-07-31,K-RERA/PRJ/TVM/122/2023,2023-07-21,52,37,Inprogress,Thiruvananthapuram,SASTHAMANGALAM,THIRUVANANTHAPRUAM
GLOBAL MISTY HILLS,GLOBAL HABITAT PRIVATE LIMITED,Villas (Plots & Buildings),2023-07-10,2026-12-31,K-RERA/PRJ/KKD/128/2023,2023-07-27,23,10,Inprogress,Kozhikode,KURUVATTOOR,Kozhikode
CASADEL TOWNCASTLE,CASADEL BUILDERS INDIA PRIVATE LIMITED,Mixed (Commercial & Residential),2023-09-25,2027-12-26,K-RERA/PRJ/ERN/147/2023,2023-08-14,49,17,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
ROYAL PEARLS,OMG PROPERTIES PRIVATE LIMITED,Plots,2023-07-28,2028-07-24,K-RERA/PRJ/TSR/141/2023,2023-08-08,,3,Inprogress,Thrissur,KUTTOOR THRISSUR,Thrissur
ASSET SREYAS,ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2023-11-13,2027-11-12,K-RERA/PRJ/ERN/196/2023,2023-11-02,74,26,Inprogress,Ernakulam,CHERANALLUR,Kanayannur
ROYALE COURTYARD,MOTIF BUILDERS AND DEVELOPERS Pvt Ltd,Residential (Apartment),2007-12-11,2025-11-24,K-RERA/PRJ/ERN/060/2024,2024-03-12,53,38,Inprogress,Ernakulam,THRIKKAKARA NORTH,Kanayannur
CONFIDENT SILVEROAK,Confident Projects Residential,Residential (Apartment),2023-11-15,2028-11-14,K-RERA/PRJ/KTM/150/2023,2023-09-07,142,61,Inprogress,Kottayam,VIJAYAPURAM,Kottayam
Anugraha Srishti Kochi - II,Ei Holdings,Villas (Plots & Buildings),2023-08-05,2028-08-04,K-RERA/PRJ/ERN/151/2023,2023-09-07,5,5,Inprogress,Ernakulam,AIKARANAD NORTH,Kunnathunad
GREENLAND HIILTOP,Greenland Properties and devolopers,Villas (Plots & Buildings),2021-11-20,2022-12-16,K-RERA/PRJ/ERN/026/2024,2024-01-29,9,9,Completed,Ernakulam,VENGOLA,Kunnathunad
SOBHA METROPOLIS - PHASE 3,M/S SOBHA HIGHRISE VENTURES PRIVATE LIMITED,Residential (Apartment),2023-12-31,2028-12-31,K-RERA/PRJ/TSR/191/2023,2023-10-30,160,128,Inprogress,Thrissur,OLLUR,Thrissur
RABBIT HABITAT,Venkateshwara Realtors,Villas (Plots & Buildings),2024-01-22,2026-11-30,K-RERA/PRJ/ERN/042/2024,2024-02-16,10,0,Inprogress,Ernakulam,THIRUVANIYOOR,Kunnathunad
AUREOLE VILLAS,INDUS GRATIA CREATIVE HOMES PVT LTD,Residential (Apartment),2023-10-25,2028-12-01,K-RERA/PRJ/ERN/215/2023,2023-11-21,12,3,Inprogress,Ernakulam,THIRUVANKULAM,Kanayannur
VEEGALAND GREEN FORT,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2023-12-01,2027-08-31,K-RERA/PRJ/ERN/213/2023,2023-11-20,54,54,Inprogress,Ernakulam,THIRUVANKULAM,Kanayannur
NOEL PEACE,NOEL VILLAS AND APARTMENTS,Residential (Apartment),2024-01-01,2027-03-31,K-RERA/PRJ/ERN/180/2023,2023-10-12,59,57,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
TULSI LALITA,TULSI DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2024-06-15,2028-10-20,K-RERA/PRJ/ERN/077/2024,2024-04-12,22,0,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur
ASIAN ALLEGRA,ASIAN DEVELOPERS,Residential (Apartment),2015-10-14,2023-09-05,K-RERA/PRJ/ERN/217/2023,2023-11-23,16,16,Completed,Ernakulam,MARADU,Kanayannur
BLUE DIAMOND,JS HOMES,Villas (Plots & Buildings),2023-10-10,2028-10-09,K-RERA/PRJ/TVM/003/2024,2024-01-01,14,13,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
SCOTLAND YARD VILLAS,GREENTECH BUILDERS,Villas (Plots & Buildings),2019-12-31,2028-08-31,K-RERA/PRJ/ERN/103/2024,2024-05-24,33,32,Inprogress,Ernakulam,KUNNATHUNAD,Kunnathunad
DOWNTOWN BY VARMA,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2024-09-01,2029-09-05,K-RERA/PRJ/TSR/110/2024,2024-06-03,39,30,Inprogress,Thrissur,CHEMBUKAVU,Thrissur
DREAMFLOWER AURELIUS,DREAM FLOWER HOUSING PROJECTS PVT LTD,Residential (Apartment),2023-05-01,2026-05-31,K-RERA/PRJ/ERN/072/2023,2023-04-26,24,17,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
RAY GRAND,ANIL KUMAR  N,Plots,2023-05-01,2027-03-10,K-RERA/PRJ/TVM/006/2024,2024-01-05,,9,Inprogress,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM
SREEROSH LAURELS,SREEROSH DEVELOPERS PVT LTD,Residential (Apartment),2023-04-01,2026-12-31,K-RERA/PRJ/KNR/068/2023,2023-04-24,50,50,Inprogress,Kannur,PALLIKKUNNU,Kannur
GREENLAND HILLVIEW,GREENLAND HILLVIEW,Villas (Plots & Buildings),2022-11-28,2029-12-31,K-RERA/PRJ/ERN/116/2023,2023-06-30,61,2,Inprogress,Ernakulam,KOOVAPPADY,Kunnathunad
CASA BELLEZA,ETHER BUILDERS AND DEVELOPERS LLP,Villas (Plots & Buildings),2017-10-20,2026-12-01,K-RERA/PRJ/KKD/039/2024,2024-02-13,32,20,Inprogress,Kozhikode,KUTTIKKATTOOR,Kozhikode
CONFIDENT SUNFLOWER,Confident Projects Residential,Residential (Apartment),2023-07-01,2028-06-30,K-RERA/PRJ/ERN/087/2023,2023-05-25,63,53,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
SFS WHISPERING HILLS,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2023-06-01,2027-05-31,K-RERA/PRJ/ERN/097/2023,2023-06-02,63,62,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
Cheloor Green Terrace,Cheloor Property Development Projects Ltd,Residential (Apartment),2019-10-01,2030-06-30,K-RERA/PRJ/TSR/110/2023,2023-06-23,36,23,Inprogress,Thrissur,VILVATTOM,Thrissur
Ecomount Green City Homes,Ecomount Builders & Developers Private Limited,Villas (Plots & Buildings),2023-05-23,2029-12-31,K-RERA/PRJ/KKD/175/2023,2023-10-06,53,12,Inprogress,Kozhikode,PUTHUPPADY,THAMARASSERY
CONFIDENT FAIRFIELD,Confident Projects Residential,Residential (Apartment),2023-08-16,2028-08-16,K-RERA/PRJ/TVM/104/2023,2023-06-17,88,38,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
GRANARY NEST,Rockshield Realtors and Developers Pvt Ltd,Villas (Plots & Buildings),2023-06-01,2026-06-30,K-RERA/PRJ/PKD/169/2023,2023-09-23,8,3,Inprogress,Palakkad,OTTAPALAM I,Ottappalam
Granday Mansion,WAYFAIR DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2023-06-30,2027-12-22,K-RERA/PRJ/ERN/140/2023,2023-08-07,6,0,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
ELITE SAMRUDDHI PHASE II,ELITE GARDENIA LLP,Mixed (Commercial & Residential),2023-07-01,2027-04-30,K-RERA/PRJ/TVM/176/2023,2023-10-06,66,42,Inprogress,Thiruvananthapuram,MENAMKULAM,THIRUVANANTHAPRUAM
PB TIGRIS,PB HOMES PVT LTD,Residential (Apartment),2023-07-15,2027-12-31,K-RERA/PRJ/TSR/148/2023,2023-09-07,46,34,Inprogress,Thrissur,THRISSUR,Thrissur
Elora,Santhoosh  J,Plots,2023-07-20,2025-12-31,K-RERA/PRJ/PKD/187/2023,2023-10-27,,0,Completed,Palakkad,SHOLAYUR,Attappadi Tribal
TULIPS,K Y HOMES,Residential (Apartment),2023-06-30,2025-12-30,K-RERA/PRJ/ERN/156/2023,2023-09-07,9,0,Completed,Ernakulam,ELAMKULAM,Kanayannur
GREENOCK VILLAS - PHASE 1,Green Reality Consultancy Private Limited,Villas (Plots & Buildings),2023-07-01,2028-06-30,K-RERA/PRJ/ERN/208/2023,2023-11-16,0,5,Inprogress,Ernakulam,KAKKANAD,Kanayannur
ILLAM BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2023-09-11,2026-10-26,K-RERA/PRJ/TVM/163/2023,2023-09-14,27,8,Inprogress,Thiruvananthapuram,THYCAUD,THIRUVANANTHAPRUAM
Good Earth Saarang,Good Earth Eco Development Private Limited,Plots,2023-07-21,2024-11-30,K-RERA/PRJ/KNR/158/2023,2023-09-08,,11,Completed,Kannur,THOLAMBRA,Thalassery
DWELLING HOMES,FELIX  JOHNS,Plots,2023-11-21,2023-11-29,K-RERA/PRJ/KTM/229/2023,2023-12-08,,0,Completed,Kottayam,PULIYANNOOR,Meenachil
UTSAVAM APPARTMENT,DREAMSWORLD LIVING SPACE PRIVATE LIMITED,Residential (Apartment),2013-12-18,2022-12-15,K-RERA/PRJ/TSR/128/2024,2024-07-02,84,37,Inprogress,Thrissur,THAIKKAD CHAVAKKAD,Chavakkad
Anugraha Srishti Kochi - III,NISARGA ENGINEERING INDIA PRIVATE LIMITED,Plots,2023-11-28,2028-11-27,K-RERA/PRJ/ERN/035/2024,2024-02-12,,10,Inprogress,Ernakulam,AIKARANAD NORTH,Kunnathunad
SKYLINE ZEST,M/s Skyline Builders,Residential (Apartment),2024-01-01,2028-12-31,K-RERA/PRJ/ERN/230/2023,2023-12-13,36,34,Inprogress,Ernakulam,EDAPPALLY SOUTH,Kanayannur
VENTURA IRIS,Ventura Realtors India Pvt Ltd,Residential (Apartment),2024-01-01,2026-04-19,K-RERA/PRJ/ERN/121/2024,2024-06-25,24,0,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
KMP Suvarnabhoomi,Parameswaran Kizhakkemadathil Mahadeva Iyyer,Residential (Apartment),2024-04-01,2028-03-31,K-RERA/PRJ/TSR/105/2024,2024-05-24,30,1,Inprogress,Thrissur,CHIYYARAM,Thrissur
MID AVENUE,Jamna  ,Plots,2023-12-23,2028-07-19,K-RERA/PRJ/ERN/161/2024,2024-08-08,,0,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur
Elkor Prime,ELKOR BUILDERS LLP,Residential (Apartment),2024-05-01,2026-03-10,K-RERA/PRJ/MPM/023/2024,2024-01-19,50,47,Inprogress,Malappuram,PATHAIKKARA,Perinthalmanna
VISHRAAM UTSAV,VISHRAAM BUILDERS,Residential (Apartment),2024-02-01,2028-12-31,K-RERA/PRJ/TSR/016/2024,2024-01-18,47,41,Inprogress,Thrissur,THRISSUR,Thrissur
SFS CONSTELLATION,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2024-02-01,2027-08-31,K-RERA/PRJ/ERN/020/2024,2024-01-19,68,66,Inprogress,Ernakulam,KAKKANAD,Kanayannur
SFS CASABELLA,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2024-01-10,2027-07-31,K-RERA/PRJ/TVM/017/2024,2024-01-18,29,22,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
ASHVAMERU,SHERNA PROPERTIES,Plots,2023-06-13,2024-06-30,K-RERA/PRJ/PKD/112/2024,2024-06-12,,0,Completed,Palakkad,SHOLAYUR,Attappadi Tribal
VICTORIA REALTORS POORNAM,DHARMIC LIVING PVT LTD,Plots,2024-01-20,2029-01-31,K-RERA/PRJ/TSR/024/2024,2024-01-29,,0,Completed,Thrissur,KIRALUR,KUNNAMKULAM
IDENTITY URBAN VILLAGE,Pavalius Homes Pvt Ltd,Villas (Plots & Buildings),2024-01-25,2029-01-14,K-RERA/PRJ/ERN/028/2024,2024-02-01,42,11,Inprogress,Ernakulam,KAKKANAD,Kanayannur
VILAMONT APARTMENTS,Ravissan Homes Pvt Ltd,Residential (Apartment),2024-08-28,2027-10-28,K-RERA/PRJ/TSR/125/2024,2024-06-26,16,0,Inprogress,Thrissur,PURANATTUKARA,Thrissur
HEATHER STEPS,Heather Homes Private Limited,Residential (Apartment),2024-04-15,2028-12-15,K-RERA/PRJ/TVM/041/2024,2024-02-16,99,75,Inprogress,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
PREMIUM LAND DEVELOPERS,PRADEEP KUMAR CHANDRASEKARANNAIR PRASANNAKUMARI,Plots,2024-01-05,2024-05-08,K-RERA/PRJ/TVM/115/2024,2024-06-19,,0,Inprogress,Thiruvananthapuram,VEMBAYAM,Nedumangad
MAPLETREE LIVING - THE LANTERN,MAPLETREE HABITATS LLP,Residential (Apartment),2024-02-01,2025-06-02,K-RERA/PRJ/ERN/054/2024,2024-03-01,12,12,Inprogress,Ernakulam,THIRUVANKULAM,Kanayannur
